CustomerLoyaltyID,Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
369225,1,51.0,5.0,8.0,0,0,420.0
374644,0,63.0,8.0,2.0,0,0,6000.0
375330,0,69.0,8.0,9.0,0,0,500.0
380113,0,46.0,4.0,11.0,0,0,2165.75
396192,0,46.0,8.0,11.0,1,1,2245.0
397660,1,67.0,4.0,5.0,0,0,11000.0
403768,0,53.0,5.0,8.0,0,0,9000.0
407364,0,55.0,6.0,4.0,1,1,5000.0
408964,0,54.0,9.0,8.0,0,0,3000.0
421979,0,58.0,5.0,4.0,0,0,420.0
435961,1,71.0,4.0,12.0,0,0,6000.0
454702,1,53.0,13.0,5.0,0,0,6871.12
462705,0,58.0,9.0,19.0,0,0,1500.0
479403,1,74.0,4.0,2.0,0,0,6000.0
486701,0,58.0,9.0,9.0,0,0,3000.0
502316,0,68.0,3.0,4.0,1,1,50000.0
503053,0,45.0,8.0,4.0,0,0,1000.0
518069,0,71.0,7.0,6.0,0,0,12000.0
523259,0,65.0,10.0,8.0,0,0,9053.35
528102,0,74.0,10.0,5.0,0,0,19000.0
532479,0,44.0,11.0,9.0,0,0,500.0
543683,1,46.0,7.0,12.0,0,0,17409.76
553115,0,29.0,8.0,12.0,0,0,2000.0
588784,1,64.0,9.0,12.0,0,0,1000.0
595233,1,49.0,10.0,5.0,1,1,3000.0
598453,0,59.0,17.0,8.0,2,1,12000.0
606316,0,51.0,15.0,8.0,1,1,3000.0
607444,0,51.0,18.0,3.0,0,0,3000.0
608378,0,58.0,5.0,11.0,0,0,3050.0
633380,1,68.0,7.0,6.0,0,0,15000.01
633542,0,76.0,12.0,2.0,0,0,6000.0
663603,0,74.0,11.0,4.0,0,0,3350.0
667692,0,60.0,5.0,2.0,0,0,5000.0
669067,0,35.0,10.0,4.0,0,0,1500.0
674885,0,46.0,3.0,5.0,0,0,6000.0
691178,1,37.0,9.0,11.0,1,1,10000.0
723185,0,49.0,12.0,3.0,0,0,3000.0
734446,0,63.0,4.0,7.0,0,0,3026.67
770264,0,64.0,8.0,2.0,0,0,12000.0
775258,0,31.0,12.0,9.0,0,0,1100.0
778176,0,41.0,11.0,5.0,0,0,1000.0
802069,0,70.0,7.0,2.0,0,0,12000.0
819301,1,51.0,10.0,6.0,0,0,1000.0
823961,0,52.0,8.0,2.0,0,0,6000.0
830380,0,43.0,8.0,10.0,0,0,50.0
856916,1,54.0,8.0,8.0,0,0,12000.0
861820,0,54.0,5.0,2.0,0,0,1000.0
870307,1,53.0,9.0,3.0,0,0,6000.0
889199,0,39.0,14.0,10.0,1,1,50.0
897485,0,42.0,9.0,2.0,1,1,6000.0
899186,1,67.0,6.0,8.0,0,0,3000.0
922366,0,78.0,7.0,5.0,0,0,1250.0
929506,1,79.0,5.0,8.0,0,0,6000.0
935530,0,68.0,8.0,8.0,1,1,800.0
943517,0,48.0,9.0,8.0,0,0,600.0
950033,1,35.0,12.0,5.0,0,0,1500.0
952729,1,42.0,11.0,5.0,0,0,6041.13
956155,1,50.0,14.0,4.0,0,0,420.01
966932,0,50.0,8.0,8.0,0,0,50.0
994332,0,66.0,8.0,8.0,0,0,500.0
997684,0,54.0,6.0,11.0,0,0,50.0
1008129,1,55.0,8.0,5.0,0,0,1000.0
1009931,0,59.0,11.0,2.0,0,0,1500.0
1011243,1,63.0,6.0,2.0,1,1,1000.0
1040227,0,66.0,7.0,8.0,0,0,9000.0
1054015,0,78.0,6.0,5.0,0,0,7500.0
1055682,1,55.0,9.0,2.0,0,0,5672.31
1060228,1,49.0,7.0,3.0,0,0,10000.0
1070037,0,73.0,5.0,32.0,0,0,600.0
1070460,0,71.0,8.0,4.0,1,1,23425.0
1072773,0,52.0,14.0,5.0,0,0,7017.55
1084607,0,57.0,9.0,7.0,0,0,9052.66
1091085,1,63.0,10.0,4.0,0,0,6053.34
1101579,0,58.0,8.0,9.0,0,0,1930.0
1108646,0,61.0,9.0,11.0,0,0,12150.0
1111434,0,70.0,13.0,11.0,0,0,500.0
1128353,0,70.0,5.0,5.0,0,0,3500.0
1131451,0,60.0,6.0,4.0,0,0,10000.0
1134051,0,77.0,14.0,11.0,0,0,4884.25
1135724,0,74.0,10.0,12.0,0,0,4500.0
1136585,0,67.0,7.0,5.0,0,0,3000.0
1137492,1,51.0,7.0,11.0,1,1,17000.0
1138235,0,37.0,18.0,8.0,3,1,50.01
1150820,0,58.0,5.0,22.0,0,0,6000.0
1151037,0,27.0,6.0,7.0,0,0,5.0
1156179,0,70.0,9.0,8.0,0,0,6000.0
1178520,0,58.0,10.0,8.0,0,0,3000.01
1184199,0,38.0,7.0,4.0,0,0,4500.0
1186671,0,71.0,7.0,3.0,1,1,2000.0
1190369,1,50.0,22.0,6.0,2,1,3000.0
1192051,0,51.0,6.0,27.0,0,0,3500.0
1214039,0,64.0,8.0,4.0,1,1,20000.0
1214934,0,50.0,9.0,4.0,0,0,5000.0
1220462,0,41.0,5.0,3.0,0,0,6000.0
1227807,0,54.0,13.0,30.0,0,0,12078.35
1237713,0,45.0,13.0,8.0,0,0,3000.0
1246933,1,59.0,10.0,2.0,0,0,780.0
1260758,1,66.0,9.0,9.0,0,0,2000.0
1265857,1,73.0,8.0,6.0,0,0,6000.0
1287850,0,56.0,11.0,7.0,0,0,6105.32
1311360,1,61.0,8.0,6.0,0,0,3250.0
1314483,1,68.0,9.0,4.0,0,0,4250.0
1318845,0,70.0,3.0,11.0,0,0,3000.0
1322516,1,40.0,10.0,13.0,0,0,1000.0
1330489,0,54.0,11.0,9.0,0,0,360.0
1338498,0,44.0,9.0,5.0,0,0,6053.35
1352482,0,22.0,9.0,3.0,1,1,1000.0
1353292,1,73.0,10.0,27.0,0,0,5000.0
1379240,0,76.0,8.0,3.0,1,1,1000.0
1403478,0,48.0,9.0,2.0,0,0,6000.0
1408038,0,61.0,10.0,3.0,1,1,3000.0
1421123,1,55.0,8.0,8.0,0,0,4000.0
1438069,0,76.0,5.0,3.0,1,1,6000.0
1439030,1,47.0,11.0,11.0,0,0,1200.0
1467158,0,60.0,12.0,4.0,0,0,9604.34
1469819,0,67.0,9.0,5.0,1,1,10000.0
1470698,1,53.0,4.0,9.0,0,0,1070.0
1472623,0,59.0,3.0,4.0,0,0,12000.0
1487604,1,69.0,8.0,8.0,0,0,14400.0
1492209,1,63.0,10.0,7.0,0,0,3000.0
1509918,0,64.0,4.0,9.0,0,0,420.0
1514946,1,45.0,8.0,2.0,0,0,6000.0
1523775,1,62.0,11.0,10.0,0,0,6000.0
1524712,1,64.0,13.0,8.0,0,0,12000.0
1533258,0,25.0,11.0,3.0,1,1,3000.0
1535226,0,46.0,5.0,9.0,0,0,24878.35
1544969,1,62.0,6.0,4.0,0,0,18800.0
1550918,1,77.0,5.0,16.0,0,0,9600.0
1587250,0,29.0,4.0,7.0,1,1,100.0
1611844,0,68.0,12.0,31.0,0,0,2000.0
1617974,0,36.0,7.0,8.0,1,1,3000.01
1620797,0,43.0,17.0,6.0,2,1,3026.67
1665502,1,44.0,10.0,9.0,0,0,500.0
1670514,0,51.0,9.0,10.0,0,0,7053.34
1673556,0,62.0,7.0,2.0,0,0,6000.0
1681265,0,54.0,18.0,9.0,2,1,970.92
1691082,1,57.0,7.0,5.0,0,0,1500.0
1692658,1,63.0,7.0,5.0,0,0,7500.0
1731165,1,74.0,11.0,8.0,0,0,10000.01
1739360,1,56.0,8.0,5.0,1,1,4000.0
1742434,0,50.0,8.0,5.0,0,0,4800.0
1762605,1,72.0,7.0,5.0,0,0,6000.0
1764616,1,28.0,8.0,2.0,0,0,68.22
1765760,0,65.0,9.0,6.0,0,0,6053.35
1772406,0,59.0,11.0,5.0,0,0,10213.66
1794663,0,48.0,12.0,13.0,2,1,6053.35
1799983,0,39.0,9.0,4.0,1,1,2700.0
1802194,1,44.0,11.0,3.0,1,1,6000.0
1804170,0,57.0,11.0,6.0,1,1,9000.0
1805371,0,34.0,5.0,5.0,0,0,6000.0
1820036,1,69.0,6.0,12.0,0,0,12105.32
1820974,1,53.0,11.0,7.0,0,0,600.0
1824880,1,67.0,6.0,4.0,0,0,1200.0
1833588,0,74.0,8.0,5.0,0,0,2000.0
1856197,0,73.0,4.0,20.0,0,0,6500.0
1860585,0,60.0,7.0,10.0,1,1,1324.2
1868780,0,74.0,9.0,12.0,0,0,11605.32
1878794,0,58.0,5.0,9.0,0,0,21000.0
1891499,0,43.0,8.0,4.0,0,0,1200.0
1895451,0,78.0,8.0,2.0,1,1,3000.0
1896628,0,76.0,4.0,6.0,0,0,6000.0
1897829,0,48.0,15.0,9.0,1,1,500.0
1902814,1,64.0,10.0,11.0,0,0,5100.0
1917439,0,62.0,10.0,5.0,0,0,6053.35
1919512,0,35.0,11.0,8.0,1,1,600.0
1936239,0,35.0,8.0,6.0,1,1,1000.0
1941658,1,63.0,6.0,6.0,0,0,30131.68
1952552,1,57.0,12.0,4.0,0,0,1000.0
1954504,0,45.0,11.0,4.0,0,0,720.0
1976389,0,49.0,6.0,4.0,1,1,920.0
1978349,1,70.0,9.0,8.0,0,0,3000.0
1986597,0,62.0,8.0,2.0,0,0,3750.0
1991744,0,59.0,9.0,28.0,0,0,7400.0
1996495,1,52.0,15.0,5.0,1,1,3000.0
2009935,1,50.0,9.0,9.0,0,0,1200.0
2024128,0,68.0,12.0,3.0,1,1,18678.76
2053047,1,53.0,14.0,5.0,2,1,480.0
2094428,0,76.0,14.0,9.0,1,1,500.0
2115328,0,63.0,11.0,12.0,0,0,19000.0
2124033,0,62.0,11.0,2.0,0,0,12000.0
2176327,0,30.0,22.0,4.0,3,1,1750.0
2219816,1,57.0,5.0,4.0,0,0,3000.0
2222930,0,23.0,7.0,5.0,1,1,1000.0
2245329,0,46.0,9.0,2.0,0,0,5000.0
2275317,1,54.0,7.0,11.0,0,0,4500.0
2281147,0,66.0,13.0,5.0,1,1,2000.0
2303191,1,58.0,3.0,2.0,0,0,3000.0
2334992,0,54.0,10.0,5.0,1,1,2000.0
2337916,0,72.0,7.0,8.0,0,0,26053.35
2360020,1,70.0,14.0,3.0,0,0,20294.5
2372991,0,49.0,12.0,3.0,0,0,14000.0
2373998,1,70.0,12.0,24.0,1,1,29374.72
2384248,0,77.0,3.0,4.0,0,0,15053.82
2387123,1,63.0,6.0,13.0,0,0,18000.0
2390949,0,68.0,6.0,5.0,0,0,19411.22
2397285,0,68.0,5.0,9.0,0,0,1500.0
2405253,1,73.0,7.0,4.0,1,1,2000.0
2420252,0,59.0,10.0,2.0,1,1,6000.0
2423170,0,67.0,11.0,2.0,1,1,6000.0
2428563,0,56.0,7.0,3.0,0,0,20383.7
2443090,0,69.0,9.0,18.0,0,0,5000.0
2444100,1,75.0,8.0,2.0,0,0,8000.0
2452650,1,50.0,6.0,6.0,0,0,1000.0
2488981,0,25.0,12.0,2.0,1,1,6000.0
2502917,0,50.0,10.0,8.0,0,0,3000.0
2513684,0,64.0,9.0,7.0,1,1,300.0
2681226,0,61.0,15.0,4.0,0,0,7500.0
2744937,1,67.0,11.0,2.0,0,0,9000.0
2752220,0,55.0,9.0,4.0,0,0,2000.0
2759365,0,67.0,10.0,8.0,0,0,3000.0
2786591,0,45.0,5.0,3.0,0,0,19465.7
2789647,0,75.0,12.0,23.0,1,1,24106.7
2840502,0,63.0,8.0,6.0,0,0,7000.0
2867451,0,53.0,15.0,3.0,0,0,6000.0
2903679,1,53.0,7.0,8.0,0,0,2460.01
2912872,0,38.0,3.0,5.0,0,0,5192.69
2920077,0,29.0,8.0,4.0,1,1,1500.0
2926687,1,43.0,13.0,11.0,0,0,50.0
2931974,0,70.0,6.0,9.0,1,1,1000.0
2932385,0,65.0,12.0,4.0,1,1,2215.4
2951029,0,73.0,6.0,7.0,0,0,600.0
2958864,0,41.0,9.0,6.0,0,0,12000.0
2960850,0,64.0,11.0,4.0,0,0,6000.0
2966697,0,32.0,6.0,10.0,1,1,3050.0
2972719,0,58.0,2.0,12.0,0,0,6550.0
2981033,0,70.0,6.0,8.0,0,0,6000.0
2981823,1,60.0,16.0,2.0,0,0,3000.0
2989123,0,62.0,5.0,5.0,0,0,6000.0
2991403,0,49.0,6.0,10.0,0,0,1608.0
2996030,0,59.0,7.0,4.0,0,0,5000.0
2997789,1,53.0,8.0,5.0,0,0,1000.0
3003442,0,62.0,20.0,4.0,1,1,1600.0
3012158,0,79.0,11.0,16.0,0,0,5000.0
3013030,0,37.0,12.0,5.0,1,1,6000.01
3022374,0,62.0,8.0,5.0,0,0,13500.0
3027457,0,68.0,8.0,5.0,0,0,2200.0
3028984,0,51.0,9.0,4.0,0,0,6001.74
3029913,0,39.0,13.0,2.0,1,1,1500.0
3030695,0,55.0,6.0,29.0,1,1,7000.0
3035840,0,57.0,3.0,6.0,0,0,2500.0
3037894,0,50.0,12.0,9.0,1,1,600.0
3051145,1,51.0,7.0,2.0,0,0,6000.0
3051153,1,67.0,7.0,8.0,0,0,12000.0
3053628,1,68.0,13.0,3.0,0,0,20364.36
3083780,0,47.0,16.0,8.0,1,1,2790.0
3108244,1,29.0,7.0,8.0,1,1,360.0
3113930,1,61.0,6.0,4.0,0,0,900.0
3116905,0,70.0,8.0,15.0,0,0,3000.01
3124495,0,77.0,6.0,3.0,0,0,6000.0
3124762,0,36.0,25.0,5.0,3,1,2000.0
3125157,0,38.0,8.0,6.0,1,1,12035.57
3461939,1,58.0,15.0,10.0,0,0,100.0
3465624,1,65.0,12.0,10.0,0,0,12100.0
3467236,0,67.0,8.0,7.0,1,1,6000.0
3467759,0,45.0,7.0,9.0,0,0,6000.0
3467856,1,36.0,5.0,8.0,0,0,50.01
3467929,0,27.0,9.0,3.0,0,0,10000.0
3469115,1,46.0,8.0,2.0,0,0,6000.0
3469778,0,78.0,6.0,21.0,0,0,6000.0
3470806,0,55.0,7.0,5.0,0,0,2000.0
3472132,0,55.0,10.0,9.0,0,0,1020.0
3473589,0,52.0,8.0,5.0,0,0,3000.0
3474887,0,75.0,8.0,4.0,0,0,15000.0
3476448,0,36.0,10.0,4.0,1,1,1100.0
3476588,1,64.0,6.0,14.0,0,0,3000.0
3477231,0,58.0,3.0,13.0,0,0,19171.95
3477630,1,48.0,9.0,5.0,0,0,10500.0
3477681,0,65.0,6.0,17.0,0,0,3213.27
3478580,0,49.0,5.0,4.0,0,0,16000.0
3478645,0,44.0,5.0,8.0,1,1,1005.0
3478866,0,38.0,12.0,5.0,0,0,15500.0
3479870,0,73.0,6.0,7.0,0,0,9053.35
3481301,0,74.0,5.0,2.0,0,0,3000.0
3481913,1,48.0,6.0,4.0,0,0,6053.34
3484920,0,58.0,11.0,3.0,1,1,20406.2
3486265,0,76.0,10.0,8.0,0,0,11800.0
3486346,0,58.0,10.0,2.0,0,0,6000.0
3486400,1,69.0,8.0,24.0,0,0,1420.0
3486699,1,72.0,8.0,4.0,1,1,7000.0
3486788,0,33.0,12.0,9.0,2,1,500.0
3487164,0,39.0,10.0,3.0,1,1,10000.0
3488640,0,68.0,9.0,2.0,0,0,12000.0
3488705,0,49.0,16.0,2.0,1,1,2000.0
3491684,1,45.0,14.0,2.0,0,0,7000.0
3492184,1,54.0,10.0,10.0,1,1,50050.0
3493458,1,62.0,18.0,9.0,1,1,23000.0
3495272,0,62.0,9.0,2.0,0,0,6000.0
3497674,1,58.0,6.0,3.0,0,0,20610.65
3498492,1,58.0,5.0,8.0,0,0,3000.0
3500438,0,57.0,10.0,12.0,1,1,3053.35
3500691,1,57.0,17.0,8.0,0,0,12105.32
3500977,0,65.0,4.0,2.0,1,1,6000.0
3502902,1,75.0,8.0,2.0,1,1,6000.0
3504891,1,74.0,6.0,12.0,0,0,3000.0
3505294,0,58.0,6.0,2.0,0,0,3000.0
3507300,0,43.0,9.0,8.0,1,1,50.01
3508765,0,62.0,13.0,8.0,0,0,18426.67
3509648,0,55.0,9.0,9.0,0,0,24300.0
3509915,1,46.0,10.0,9.0,0,0,3120.0
3510646,1,66.0,7.0,8.0,0,0,1200.0
3511073,1,55.0,8.0,18.0,0,0,23.84
3516601,0,58.0,14.0,18.0,2,1,100.0
3517357,0,67.0,11.0,11.0,1,1,12620.93
3518876,1,65.0,7.0,8.0,0,0,3000.0
3519406,1,69.0,13.0,5.0,0,0,5000.0
3520498,1,57.0,8.0,16.0,0,0,17496.51
3522512,0,58.0,5.0,5.0,0,0,1000.0
3522709,0,65.0,7.0,2.0,0,0,12000.0
3526860,1,62.0,7.0,11.0,0,0,4884.25
3527271,1,70.0,6.0,4.0,0,0,32000.0
3527344,0,41.0,6.0,10.0,1,1,3052.66
3528324,1,22.0,20.0,2.0,2,1,100.0
3528537,0,74.0,9.0,12.0,0,0,6000.0
3529657,0,32.0,9.0,2.0,1,1,6000.0
3530183,0,49.0,13.0,9.0,0,0,500.0
3530574,1,63.0,12.0,13.0,0,0,5500.0
3531090,1,76.0,12.0,9.0,0,0,364.38
3533069,0,59.0,8.0,9.0,2,1,3000.0
3534731,0,71.0,8.0,3.0,0,0,20767.52
3535282,1,63.0,10.0,4.0,0,0,6000.0
3536378,0,48.0,11.0,5.0,1,1,900.0
3537250,1,47.0,16.0,5.0,0,0,1000.0
3538494,0,77.0,6.0,32.0,0,0,6000.0
3539164,1,69.0,7.0,4.0,0,0,25162.77
3541401,0,71.0,8.0,31.0,1,1,4884.25
3541614,0,58.0,16.0,9.0,0,0,5000.0
3542785,0,51.0,8.0,5.0,0,0,3000.0
3543773,0,54.0,11.0,8.0,0,0,1500.0
3545040,0,69.0,16.0,8.0,0,0,3000.0
3546357,0,49.0,12.0,5.0,1,1,600.0
3546608,0,55.0,9.0,5.0,1,1,10000.0
3546888,0,67.0,7.0,9.0,0,0,11035.58
3547736,1,61.0,9.0,4.0,0,0,1000.0
3547965,1,49.0,4.0,9.0,0,0,900.0
3549283,0,54.0,10.0,5.0,0,0,100.01
3550346,0,52.0,14.0,6.0,1,1,6053.34
3550427,0,65.0,6.0,2.0,0,0,3000.0
3550583,0,70.0,9.0,5.0,1,1,3000.0
3552055,0,74.0,5.0,2.0,0,0,6000.0
3552489,0,33.0,7.0,13.0,1,1,1500.0
3556271,0,46.0,8.0,22.0,0,0,3000.0
3556573,0,70.0,3.0,8.0,0,0,3000.0
3557685,1,56.0,8.0,10.0,0,0,3000.0
3559424,0,48.0,7.0,7.0,2,1,6105.32
3559491,0,71.0,15.0,5.0,1,1,1500.0
3560619,0,60.0,9.0,2.0,0,0,11858.52
3561216,0,52.0,6.0,7.0,0,0,8200.0
3563790,0,42.0,4.0,8.0,1,1,4884.25
3565556,1,23.0,5.0,5.0,0,0,480.0
3566064,0,33.0,7.0,11.0,0,0,2000.0
3566161,0,51.0,4.0,14.0,0,0,2200.0
3566811,0,20.0,5.0,3.0,1,1,1208.13
3567745,0,29.0,9.0,3.0,1,1,10000.0
3568490,0,63.0,11.0,9.0,1,1,300.0
3569373,0,61.0,12.0,5.0,0,0,1500.0
3570169,0,43.0,4.0,8.0,0,0,6000.0
3573397,0,53.0,10.0,10.0,0,0,9630.0
3575098,1,45.0,9.0,4.0,0,0,2000.0
3575365,0,40.0,12.0,4.0,0,0,2000.0
3575624,0,68.0,11.0,3.0,0,0,15000.0
3576523,0,51.0,10.0,6.0,0,0,3422.48
3577449,1,57.0,14.0,9.0,1,1,800.0
3579115,0,31.0,7.0,7.0,0,0,531.36
3579530,0,24.0,11.0,6.0,1,1,6053.35
3581047,1,46.0,4.0,9.0,0,0,3000.0
3583279,0,55.0,10.0,12.0,0,0,4234.11
3583953,1,65.0,12.0,8.0,0,0,3000.0
3584437,0,66.0,7.0,6.0,0,0,6000.0
3584852,1,48.0,20.0,9.0,2,1,500.0
3585174,0,77.0,4.0,9.0,0,0,6035.46
3585573,0,44.0,11.0,7.0,0,0,6053.35
3585891,0,64.0,6.0,4.0,0,0,1440.0
3586642,1,67.0,7.0,9.0,0,0,50.01
3588122,1,50.0,13.0,5.0,0,0,500.0
3588254,0,36.0,11.0,6.0,1,1,9053.35
3591662,0,36.0,5.0,2.0,1,1,75.0
3592219,0,67.0,9.0,8.0,0,0,12105.32
3592502,0,70.0,16.0,14.0,1,1,19053.34
3592707,0,72.0,3.0,16.0,0,0,3000.0
3594025,1,44.0,8.0,6.0,0,0,6107.64
3594289,0,77.0,6.0,8.0,0,0,3000.0
3594416,0,64.0,8.0,8.0,0,0,10300.0
3596540,0,51.0,8.0,2.0,0,0,6000.0
3598446,0,42.0,11.0,4.0,0,0,6000.0
3598756,1,54.0,12.0,12.0,0,0,3000.0
3599450,0,39.0,6.0,5.0,1,1,2000.0
3601862,1,41.0,7.0,10.0,0,0,6315.0
3603555,0,48.0,13.0,9.0,0,0,6000.0
3604152,0,62.0,4.0,9.0,0,0,6000.0
3604721,1,70.0,11.0,11.0,1,1,6053.34
3605728,0,38.0,18.0,4.0,3,1,1000.0
3606023,1,49.0,12.0,8.0,0,0,2350.0
3606198,1,57.0,9.0,2.0,0,0,6000.0
3606333,0,74.0,3.0,2.0,1,1,4000.0
3606406,0,36.0,10.0,5.0,1,1,600.0
3608115,0,50.0,14.0,3.0,0,0,5000.0
3609367,1,76.0,9.0,4.0,0,0,22025.0
3611175,0,65.0,6.0,24.0,1,1,9768.5
3611248,0,44.0,8.0,11.0,0,0,3500.0
3611418,0,47.0,10.0,9.0,0,0,3000.0
3611957,1,63.0,10.0,2.0,0,0,6000.0
3613364,0,50.0,14.0,11.0,0,0,10166.01
3613658,0,47.0,8.0,2.0,0,0,5000.0
3613720,0,64.0,7.0,5.0,0,0,2000.0
3613895,1,60.0,16.0,12.0,0,0,6105.32
3614077,0,52.0,8.0,2.0,0,0,4199.92
3615073,0,43.0,7.0,4.0,0,0,4000.0
3616096,0,55.0,26.0,13.0,2,1,6000.0
3616835,0,56.0,10.0,2.0,1,1,6000.0
3617238,1,49.0,7.0,11.0,0,0,5000.0
3618641,0,74.0,5.0,14.0,0,0,13791.44
3619087,0,33.0,18.0,9.0,3,1,500.0
3621316,0,39.0,4.0,3.0,0,0,3000.0
3622797,0,69.0,7.0,2.0,0,0,6000.0
3622940,0,40.0,4.0,2.0,0,0,1167.88
3625419,1,48.0,13.0,4.0,0,0,3000.0
3626881,0,79.0,5.0,9.0,0,0,500.0
3626997,0,42.0,13.0,8.0,0,0,3200.0
3627284,0,53.0,6.0,5.0,0,0,3000.0
3627918,0,63.0,7.0,9.0,0,0,4035.88
3630676,1,52.0,9.0,4.0,0,0,1000.0
3632237,1,57.0,11.0,8.0,2,1,3000.0
3633322,0,58.0,7.0,11.0,0,0,1000.0
3634698,0,52.0,14.0,4.0,2,1,20000.0
3634787,1,53.0,6.0,5.0,0,0,12053.35
3635554,1,69.0,4.0,5.0,0,0,1500.0
3635848,1,52.0,11.0,8.0,0,0,6052.65
3637530,1,62.0,14.0,5.0,0,0,2000.0
3637980,0,62.0,12.0,8.0,0,0,12105.32
3639606,0,49.0,5.0,4.0,0,0,5040.0
3639738,0,78.0,7.0,5.0,0,0,6000.0
3641635,1,60.0,8.0,13.0,0,0,13000.0
3641775,0,62.0,6.0,8.0,0,0,8300.0
3642755,0,54.0,5.0,4.0,0,0,4000.0
3646580,0,29.0,11.0,9.0,2,1,1000.0
3647609,1,51.0,6.0,7.0,0,0,15053.35
3653129,0,67.0,9.0,4.0,0,0,1000.0
3657310,0,57.0,5.0,2.0,0,0,6000.0
3657396,1,62.0,8.0,18.0,0,0,2679.2
3658910,0,51.0,6.0,5.0,0,0,1000.0
3660575,0,59.0,9.0,4.0,0,0,1000.0
3661091,0,47.0,10.0,2.0,0,0,37.01
3661563,1,38.0,7.0,7.0,0,0,350.0
3662438,0,73.0,6.0,11.0,0,0,9107.17
3663035,1,52.0,10.0,9.0,0,0,360.0
3663752,0,77.0,13.0,5.0,0,0,6000.0
3664287,0,70.0,6.0,5.0,0,0,3000.0
3666034,0,62.0,10.0,3.0,0,0,9000.0
3667693,1,67.0,5.0,28.0,0,0,3300.01
3668568,0,67.0,10.0,31.0,0,0,6000.0
3668711,0,40.0,12.0,3.0,1,1,20487.4
3669041,0,60.0,13.0,5.0,1,1,22000.0
